,indicator_category,indicator,gender,race_ethnicity,rate,state,year
1884,HIV/AIDS,"HIV Diagnoses Rate (Per 100,000 people)",Male,All,60.9, TX,2011
13501,Food Safety,"Rate of Laboratory Confirmed Infections Caused by Salmonella (Per 100,000 people)",Female,All,15.7, MO,2011
344,HIV/AIDS,"HIV Diagnoses Rate (Per 100,000 people)",Female,All,39.4, MD,2011
9,Cancer,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",Male,All,196.2, GA,2011
11,Cancer,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,All,165.2, GA,2011
13021,Infectious Disease,"Tuberculosis Incidence Rate (Per 100,000 people)",Female,All,4.7, CA,2011
12859,HIV/AIDS,"AIDS Diagnoses Rate (Per 100,000 people)",Both,Other,0.0, CA,2011
343,HIV/AIDS,"HIV Diagnoses Rate (Per 100,000 people)",Both,All,81.4, MD,2011
2049,Cancer,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,White,173.1, CO,2011
12761,Injury and Violence,"Suicide Rate  (Age-Adjusted; Per 100,000 people)",Both,Black,5.8, DC,2011
13493,Life Expectancy and Death Rate (Overall),"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Black,773.4, CA,2011
322,HIV/AIDS,"AIDS Diagnoses Rate (Per 100,000 people)",Male,All,79.0, MD,2011
3189,Maternal and Child Health,Percent of Low Birth Weight Babies Born,Both,White,7.2, TX,2011
13496,HIV/AIDS,"Persons Living with HIV/AIDS Rate (Per 100,000 people)",Male,All,869.7, CA,2011
2046,Cancer,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Other,129.7, CO,2011
3258,Injury and Violence,"Suicide Rate  (Age-Adjusted; Per 100,000 people)",Female,All,4.2, TX,2011
13388,"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Asian/PI,130.2, CA,2011
3591,Maternal and Child Health,Percent of Mothers Under Age 20,Female,White,4.9, TX,2011
2061,Life Expectancy and Death Rate (Overall),"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,White,670.2, CO,2011
3545,Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,Both,Black,13.3, TX,2011
3541,Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,Both,All,19.1, TX,2011
1556,Injury and Violence,"Suicide Rate  (Age-Adjusted; Per 100,000 people)",Both,Asian/PI,2.5, IL,2011
13386,Cancer,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",Female,All,128.0, CA,2011
1885,HIV/AIDS,"HIV Diagnoses Rate (Per 100,000 people)",Female,All,14.2, TX,2011
321,HIV/AIDS,"AIDS Diagnoses Rate (Per 100,000 people)",Female,All,40.2, MD,2011
3605,HIV/AIDS,"Persons Living with HIV/AIDS Rate (Per 100,000 people)",Both,Black,1355.0, TX,2011
3192,Maternal and Child Health,Percent of Mothers Under Age 20,Female,All,10.1, TX,2011
1857,Injury and Violence,"Suicide Rate  (Age-Adjusted; Per 100,000 people)",Female,All,3.9, OH,2011
12837,Food Safety,"Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)",Male,All,0.0, CA,2011
2054,Life Expectancy and Death Rate (Overall),"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",Female,All,582.3, CO,2011
3198,Maternal and Child Health,Percent of Mothers Under Age 20,Female,Hispanic,14.2, TX,2011
12839,Food Safety,"Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)",Both,Asian/PI,0.0, CA,2011
1856,Injury and Violence,"Suicide Rate  (Age-Adjusted; Per 100,000 people)",Male,All,16.8, OH,2011
13416,Cancer,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Multiracial,164.8, CA,2011
74,Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",Female,Black,40.7, GA,2011
13478,Life Expectancy and Death Rate (Overall),"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,All,616.9, CA,2011
2385,"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Meet CDC-Recommended Physical Activity Levels,Both,Hispanic,81.6, CO,2011
12625,Infectious Disease,Percent of Adults Who Received Seasonal Flu Shot,Both,Other,35.8, DC,2011
1037,Cancer,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",Female,All,154.4, IL,2011
1038,Cancer,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,All,182.5, IL,2011
13176,Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",Female,Hispanic,11.3, CA,2011
2382,"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Meet CDC-Recommended Physical Activity Levels,Both,Black,79.2, CO,2011
1027,HIV/AIDS,"AIDS Diagnoses Rate (Per 100,000 people)",Both,White,8.3, IL,2011
1045,Cancer,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Asian/PI,123.7, IL,2011
2379,"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Meet CDC-Recommended Physical Activity Levels,Both,All,84.4, CO,2011
2403,Infectious Disease,Percent of Adults Who Received Seasonal Flu Shot,Both,Black,38.9, CO,2011
2378,"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Meet CDC-Recommended Physical Activity Levels,Female,All,86.6, CO,2011
1049,Cancer,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Black,232.7, IL,2011
2377,"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Meet CDC-Recommended Physical Activity Levels,Male,All,82.6, CO,2011
13189,Injury and Violence,"Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Multiracial,11.9, CA,2011
2357,Tobacco,Percent of Adults Who Currently Smoke,Both,All,20.8, CO,2011
2356,Tobacco,Percent of Adults Who Currently Smoke,Female,All,14.6, CO,2011
2355,Tobacco,Percent of Adults Who Currently Smoke,Male,All,26.0, CO,2011
12583,Tobacco,Percent of Adults Who Currently Smoke,Both,Other,18.6, DC,2011
13197,HIV/AIDS,"AIDS Diagnoses Rate (Per 100,000 people)",Both,Asian/PI,12.7, CA,2011
12581,Tobacco,Percent of Adults Who Currently Smoke,Both,Hispanic,15.2, DC,2011
2329,"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Are Obese,Both,White,13.5, CO,2011
12651,HIV/AIDS,"Persons Living with HIV/AIDS Rate (Per 100,000 people)",Both,Black,3889.7, DC,2011
2326,"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Are Obese,Both,Hispanic,28.1, CO,2011
2395,Infectious Disease,Percent of Adults Who Received Seasonal Flu Shot,Both,All,38.5, CO,2011
2394,Infectious Disease,Percent of Adults Who Received Seasonal Flu Shot,Female,All,44.4, CO,2011
2393,Infectious Disease,Percent of Adults Who Received Seasonal Flu Shot,Male,All,33.6, CO,2011
2392,"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Meet CDC-Recommended Physical Activity Levels,Both,White,86.7, CO,2011
12619,Infectious Disease,Percent of Adults Who Received Seasonal Flu Shot,Both,Black,30.3, DC,2011
1021,HIV/AIDS,"AIDS Diagnoses Rate (Per 100,000 people)",Female,All,9.7, IL,2011
1020,HIV/AIDS,"AIDS Diagnoses Rate (Per 100,000 people)",Male,All,33.9, IL,2011
1057,Cancer,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,White,173.8, IL,2011
12616,Infectious Disease,Percent of Adults Who Received Seasonal Flu Shot,Both,All,37.7, DC,2011
2409,Infectious Disease,Percent of Adults Who Received Seasonal Flu Shot,Both,White,41.1, CO,2011
12615,Infectious Disease,Percent of Adults Who Received Seasonal Flu Shot,Female,All,37.5, DC,2011
2366,Tobacco,Percent of Adults Who Currently Smoke,Both,Other,18.8, CO,2011
1060,Life Expectancy and Death Rate (Overall),"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,All,783.4, IL,2011
13170,HIV/AIDS,"AIDS Diagnoses Rate (Per 100,000 people)",Both,White,11.1, CA,2011
2363,Tobacco,Percent of Adults Who Currently Smoke,Both,Hispanic,16.2, CO,2011
13201,"Nutrition, Physical Activity, & Obesity","Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)",Female,All,12.8, CA,2011
13169,Maternal and Child Health,Percent of Mothers Under Age 20,Both,Multiracial,11.0, CA,2011
12639,Maternal and Child Health,Percent of Low Birth Weight Babies Born,Both,Asian/PI,7.5, DC,2011
1013,HIV/AIDS,"AIDS Diagnoses Rate (Per 100,000 people)",Both,All,21.4, IL,2011
2360,Tobacco,Percent of Adults Who Currently Smoke,Both,Black,29.3, CO,2011
12614,Infectious Disease,Percent of Adults Who Received Seasonal Flu Shot,Male,All,37.9, DC,2011
1053,Cancer,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Hispanic,120.0, IL,2011
12622,Infectious Disease,Percent of Adults Who Received Seasonal Flu Shot,Both,Hispanic,31.6, DC,2011
2406,Infectious Disease,Percent of Adults Who Received Seasonal Flu Shot,Both,Hispanic,35.6, CO,2011
2389,"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Meet CDC-Recommended Physical Activity Levels,Both,Other,, CO,2011
12628,Infectious Disease,Percent of Adults Who Received Seasonal Flu Shot,Both,White,48.3, DC,2011
1036,Cancer,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",Male,All,225.7, IL,2011
13178,Maternal and Child Health,Percent of Mothers Under Age 20,Both,Black,11.5, CA,2011
13186,Maternal and Child Health,Percent of Mothers Under Age 20,Both,Hispanic,11.9, CA,2011
1022,HIV/AIDS,"AIDS Diagnoses Rate (Per 100,000 people)",Both,Black,38.9, IL,2011
12577,Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,Both,White,32.9, DC,2011
991,Injury and Violence,"Suicide Rate  (Age-Adjusted; Per 100,000 people)",Both,White,11.3, MA,2011
12647,HIV/AIDS,"Persons Living with HIV/AIDS Rate (Per 100,000 people)",Female,All,1335.6, DC,2011
2338,Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,Female,All,19.0, CO,2011
12592,"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Meet CDC-Recommended Physical Activity Levels,Both,All,80.2, DC,2011
12591,"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Meet CDC-Recommended Physical Activity Levels,Female,All,78.4, DC,2011
2337,Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,Male,All,34.4, CO,2011
1075,Life Expectancy and Death Rate (Overall),"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Hispanic,531.5, IL,2011
12590,"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Meet CDC-Recommended Physical Activity Levels,Male,All,82.3, DC,2011
13163,Injury and Violence,"Homicide Rate (Age-Adjusted; Per 100,000 people)",Both,Black,10.7, CA,2011
2333,Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,Both,All,27.4, CO,2011
890,"Nutrition, Physical Activity, & Obesity",Percent of High School Students Who Meet CDC-Recommended Physical Activity Levels,Male,All,21.2, MA,2011
1149,Injury and Violence,"Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,All,13.3, IL,2011
13231,"Nutrition, Physical Activity, & Obesity","Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Asian/PI,16.0, CA,2011
12471,Maternal and Child Health,"Infant Mortality Rate (Per 1,000 live births)",Both,Hispanic,5.2, DC,2011
730,Maternal and Child Health,"Infant Mortality Rate (Per 1,000 live births)",Both,White,5.0, MA,2011
1202,HIV/AIDS,"HIV Diagnoses Rate (Per 100,000 people)",Both,Black,61.9, IL,2011
13122,Infectious Disease,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Asian/PI,8.0, CA,2011
12468,Maternal and Child Health,"Infant Mortality Rate (Per 1,000 live births)",Both,Black,11.6, DC,2011
2194,HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Black,10.3, CO,2011
726,Maternal and Child Health,"Infant Mortality Rate (Per 1,000 live births)",Both,Hispanic,2.6, MA,2011
12466,Maternal and Child Health,"Infant Mortality Rate (Per 1,000 live births)",Both,All,7.4, DC,2011
2191,HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Asian/PI,7.6, CO,2011
12473,Maternal and Child Health,"Infant Mortality Rate (Per 1,000 live births)",Both,Other,1.9, DC,2011
2190,HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,All,4.0, CO,2011
2340,Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,Both,Black,11.9, CO,2011
12595,"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Meet CDC-Recommended Physical Activity Levels,Both,Black,71.8, DC,2011
12646,HIV/AIDS,"Persons Living with HIV/AIDS Rate (Per 100,000 people)",Male,All,3990.8, DC,2011
2343,Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,Both,Hispanic,25.4, CO,2011
2323,"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Are Obese,Both,Black,40.1, CO,2011
1088,"Nutrition, Physical Activity, & Obesity","Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)",Female,All,20.8, IL,2011
12574,Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,Both,Other,19.8, DC,2011
1089,"Nutrition, Physical Activity, & Obesity","Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,All,24.0, IL,2011
12572,Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,Both,Hispanic,33.3, DC,2011
2320,"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Are Obese,Both,All,21.1, CO,2011
2319,"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Are Obese,Male,All,21.1, CO,2011
13156,Injury and Violence,"Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)",Male,All,10.4, CA,2011
1095,"Nutrition, Physical Activity, & Obesity","Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Asian/PI,14.8, IL,2011
12569,Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,Both,Black,17.9, DC,2011
987,Injury and Violence,"Suicide Rate  (Age-Adjusted; Per 100,000 people)",Both,Black,7.1, MA,2011
1087,"Nutrition, Physical Activity, & Obesity","Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)",Male,All,28.1, IL,2011
1080,Life Expectancy and Death Rate (Overall),"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,White,722.2, IL,2011
12648,HIV/AIDS,"Persons Living with HIV/AIDS Rate (Per 100,000 people)",Both,All,2590.2, DC,2011
13196,Injury and Violence,"Suicide Rate  (Age-Adjusted; Per 100,000 people)",Both,White,12.5, CA,2011
12607,"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Meet CDC-Recommended Physical Activity Levels,Both,White,91.5, DC,2011
1067,Life Expectancy and Death Rate (Overall),"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",Male,All,974.4, IL,2011
12604,"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Meet CDC-Recommended Physical Activity Levels,Both,Other,80.1, DC,2011
1068,Life Expectancy and Death Rate (Overall),"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",Female,All,640.8, IL,2011
2347,Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,Both,White,32.9, CO,2011
1069,Life Expectancy and Death Rate (Overall),"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Asian/PI,474.4, IL,2011
12601,"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Meet CDC-Recommended Physical Activity Levels,Both,Multiracial,75.0, DC,2011
12598,"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Meet CDC-Recommended Physical Activity Levels,Both,Hispanic,76.2, DC,2011
1072,Life Expectancy and Death Rate (Overall),"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Black,1021.6, IL,2011
982,Injury and Violence,"Suicide Rate  (Age-Adjusted; Per 100,000 people)",Both,All,7.9, MA,2011
2189,HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",Female,All,0.8, CO,2011
2369,Tobacco,Percent of Adults Who Currently Smoke,Both,White,22.0, CO,2011
12636,Maternal and Child Health,Percent of Low Birth Weight Babies Born,Both,All,10.5, DC,2011
12555,"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Are Obese,Both,White,10.7, DC,2011
950,HIV/AIDS,"Persons Living with HIV/AIDS Rate (Per 100,000 people)",Both,Other,140.9, MA,2011
13211,HIV/AIDS,"AIDS Diagnoses Rate (Per 100,000 people)",Both,All,13.8, CA,2011
2312,Infectious Disease,Percent of Adults Over Age 65 Who Received Pneumonia Vaccine,Both,White,80.4, CO,2011
12565,Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,Both,All,25.0, DC,2011
13206,Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",Female,White,13.5, CA,2011
12657,HIV/AIDS,"Persons Living with HIV/AIDS Rate (Per 100,000 people)",Both,Other,990.0, DC,2011
2309,Infectious Disease,Percent of Adults Over Age 65 Who Received Pneumonia Vaccine,Both,All,80.4, CO,2011
12564,Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,Female,All,19.5, DC,2011
13209,Injury and Violence,"Suicide Rate  (Age-Adjusted; Per 100,000 people)",Male,All,13.8, CA,2011
13210,"Nutrition, Physical Activity, & Obesity","Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,White,13.8, CA,2011
970,Infectious Disease,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,White,17.7, MA,2011
12563,Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,Male,All,31.4, DC,2011
968,Infectious Disease,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Hispanic,15.1, MA,2011
2308,Infectious Disease,Percent of Adults Over Age 65 Who Received Pneumonia Vaccine,Female,All,81.8, CO,2011
966,Infectious Disease,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Black,11.7, MA,2011
2307,Infectious Disease,Percent of Adults Over Age 65 Who Received Pneumonia Vaccine,Male,All,77.8, CO,2011
959,Infectious Disease,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,All,15.1, MA,2011
958,Infectious Disease,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",Female,All,13.0, MA,2011
957,Infectious Disease,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",Male,All,19.2, MA,2011
1103,"Nutrition, Physical Activity, & Obesity","Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Hispanic,27.9, IL,2011
2304,"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Are Obese,Female,All,21.1, CO,2011
1105,"Nutrition, Physical Activity, & Obesity","Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,White,16.8, IL,2011
12549,"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Are Obese,Both,Hispanic,13.3, DC,2011
2290,Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,White,6.2, CO,2011
12665,Infectious Disease,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",Female,All,14.3, DC,2011
12664,Infectious Disease,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",Male,All,20.2, DC,2011
3043,"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Black,226.3, TX,2011
13064,Injury and Violence,"Suicide Rate  (Age-Adjusted; Per 100,000 people)",Both,Hispanic,5.8, CA,2011
480,Maternal and Child Health,Percent of Mothers Under Age 20,Female,Black,16.2, MD,2011
13351,Infectious Disease,Percent of Children Who Received Seasonal Flu Shot,Both,All,48.1, CA,2011
2730,Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",Female,All,30.6, MI,2011
12432,HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",Male,All,21.0, DC,2011
12433,HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",Female,All,9.2, DC,2011
947,HIV/AIDS,"Persons Living with HIV/AIDS Rate (Per 100,000 people)",Both,Hispanic,874.4, MA,2011
12553,"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Are Obese,Both,Other,12.2, DC,2011
943,HIV/AIDS,"Persons Living with HIV/AIDS Rate (Per 100,000 people)",Both,Black,1566.9, MA,2011
940,HIV/AIDS,"Persons Living with HIV/AIDS Rate (Per 100,000 people)",Both,Asian/PI,142.8, MA,2011
953,HIV/AIDS,"Persons Living with HIV/AIDS Rate (Per 100,000 people)",Both,White,741.0, MA,2011
1109,Behavioral Health/Substance Abuse,"Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.",Male,All,1039.0, IL,2011
937,HIV/AIDS,"Persons Living with HIV/AIDS Rate (Per 100,000 people)",Both,All,870.3, MA,2011
12550,"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Are Obese,Both,Multiracial,32.2, DC,2011
936,HIV/AIDS,"Persons Living with HIV/AIDS Rate (Per 100,000 people)",Female,All,397.7, MA,2011
12660,HIV/AIDS,"Persons Living with HIV/AIDS Rate (Per 100,000 people)",Both,White,1232.3, DC,2011
935,HIV/AIDS,"Persons Living with HIV/AIDS Rate (Per 100,000 people)",Male,All,1383.8, MA,2011
1111,Behavioral Health/Substance Abuse,"Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.",Both,All,763.0, IL,2011
1115,Behavioral Health/Substance Abuse,"Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.",Both,Black,1934.0, IL,2011
1117,Behavioral Health/Substance Abuse,"Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.",Both,Hispanic,166.0, IL,2011
13224,HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,All,15.1, CA,2011
12546,"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Are Obese,Both,Black,36.7, DC,2011
927,Maternal and Child Health,Percent of Mothers Under Age 20,Female,White,8.5, MA,2011
1110,Behavioral Health/Substance Abuse,"Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.",Female,All,509.0, IL,2011
1024,HIV/AIDS,"AIDS Diagnoses Rate (Per 100,000 people)",Both,Hispanic,15.7, IL,2011
1119,Behavioral Health/Substance Abuse,"Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.",Both,White,122.0, IL,2011
12666,Infectious Disease,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,All,16.0, DC,2011
920,Maternal and Child Health,Percent of Mothers Under Age 20,Female,Black,40.6, MA,2011
2284,Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Hispanic,7.4, CO,2011
1127,Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",Female,Asian/PI,18.8, IL,2011
12540,"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Are Obese,Female,All,28.4, DC,2011
12539,"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Are Obese,Male,All,18.6, DC,2011
2281,Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Black,15.4, CO,2011
917,Maternal and Child Health,Percent of Mothers Under Age 20,Female,Asian/PI,2.3, MA,2011
1131,Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",Female,Black,33.7, IL,2011
13149,HIV/AIDS,"AIDS Diagnoses Rate (Per 100,000 people)",Both,Hispanic,10.1, CA,2011
914,Maternal and Child Health,Percent of Mothers Under Age 20,Female,All,5.0, MA,2011
1135,Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",Female,Hispanic,12.2, IL,2011
12534,Infectious Disease,Percent of Adults Over Age 65 Who Received Pneumonia Vaccine,Both,White,72.6, DC,2011
2276,Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,All,7.2, CO,2011
2275,Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",Female,All,3.6, CO,2011
911,Maternal and Child Health,Percent of Low Birth Weight Babies Born,Both,Hispanic,9.1, MA,2011
2274,Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",Male,All,10.8, CO,2011
908,Maternal and Child Health,Percent of Low Birth Weight Babies Born,Both,Black,12.0, MA,2011
12531,Infectious Disease,Percent of Adults Over Age 65 Who Received Pneumonia Vaccine,Both,Black,57.6, DC,2011
905,Maternal and Child Health,Percent of Low Birth Weight Babies Born,Both,Asian/PI,10.5, MA,2011
12528,Infectious Disease,Percent of Adults Over Age 65 Who Received Pneumonia Vaccine,Female,All,65.0, DC,2011
891,"Nutrition, Physical Activity, & Obesity",Percent of High School Students Who Meet CDC-Recommended Physical Activity Levels,Female,All,9.4, MA,2011
981,Injury and Violence,"Suicide Rate  (Age-Adjusted; Per 100,000 people)",Male,All,12.3, MA,2011
12654,HIV/AIDS,"Persons Living with HIV/AIDS Rate (Per 100,000 people)",Both,Hispanic,1703.4, DC,2011
12541,"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Are Obese,Both,All,23.8, DC,2011
1123,Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",Female,All,25.5, IL,2011
1139,Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",Female,White,24.1, IL,2011
902,Maternal and Child Health,Percent of Low Birth Weight Babies Born,Both,All,9.2, MA,2011
2287,Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Other,74.4, CO,2011
13145,HIV/AIDS,"HIV Diagnoses Rate (Per 100,000 people)",Both,Asian/PI,9.5, CA,2011
900,"Nutrition, Physical Activity, & Obesity",Percent of High School Students Who Meet CDC-Recommended Physical Activity Levels,Both,White,16.4, MA,2011
12671,Infectious Disease,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Black,19.7, DC,2011
898,"Nutrition, Physical Activity, & Obesity",Percent of High School Students Who Meet CDC-Recommended Physical Activity Levels,Both,Hispanic,15.1, MA,2011
2540,Infectious Disease,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",Male,All,17.5, CO,2011
13227,Infectious Disease,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",Female,All,15.5, CA,2011
2541,Infectious Disease,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",Female,All,14.5, CO,2011
896,"Nutrition, Physical Activity, & Obesity",Percent of High School Students Who Meet CDC-Recommended Physical Activity Levels,Both,Black,15.6, MA,2011
2542,Infectious Disease,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,All,16.1, CO,2011
895,Maternal and Child Health,Percent of Low Birth Weight Babies Born,Both,White,7.1, MA,2011
